DateTime,PM10,CO,OZONO,NO,NO2,NOX,Vel_Viento,Dir_Viento,Temperatura,HR,Precipitacion,Presion_Baro,PM2.5
01-01-2021 01:00,26,0.56,3.1,4.7,18.8,23.5,0.4,2,12.1,80,0,564,26
01-01-2021 02:00,----,0.55,2.2,6.6,19.1,25.7,0.9,2,12.4,78,0,564,52
01-01-2021 03:00,----,0.41,4.9,3.9,13.6,17.5,1.6,44,12.3,76,0,563,41
01-01-2021 04:00,35.3,0.46,2.8,7,14.4,21.5,0.7,276,11.9,78,0,563,26
01-01-2021 05:00,31.1,0.45,3.1,6.5,15.4,21.9,0.6,19,11.9,77,0,564,31
01-01-2021 06:00,27,0.17,16.1,1.1,5.2,6.3,2.7,81,11.9,71,0,564,27
01-01-2021 07:00,18.5,0.16,17.8,1,4,5,1.4,96,12.3,69,0,564,2
01-01-2021 08:00,14.1,0.19,19.1,2.7,4.4,7,1.9,98,13.3,64,0,565,9
01-01-2021 09:00,10.9,0.13,25,1.6,1.9,3.5,1.4,127,16.8,50,0,565,6
01-01-2021 10:00,8.7,0.13,25.3,1.5,1.4,3,5.1,86,17.1,48,0,565,3
01-01-2021 11:00,6.2,0.1,25.6,0.7,1.2,1.9,1.9,124,19.5,40,0,565,2
01-01-2021 12:00,5.3,0.09,25.7,1.1,1.3,2.5,3.1,103,19.1,42,0,564,5
01-01-2021 13:00,6,0.08,24.4,1,1.3,2.4,2.9,135,18.7,43,0,564,6
01-01-2021 14:00,4.1,0.07,24.4,1.2,1.5,2.8,3,109,17.6,46,0,564,4
01-01-2021 15:00,11,0.08,23.7,1.7,1.9,3.6,3.5,79,16.7,48,0,563,6
01-01-2021 16:00,9.6,0.07,23.5,1.6,1.6,3.3,5,79,16.8,48,0,563,5
01-01-2021 17:00,8.1,0.1,22.6,2.6,2.3,4.9,4.4,83,17.5,44,0,563,6
01-01-2021 18:00,----,0.15,20.2,2.1,4.4,6.6,3.2,76,15.8,49,0,563,8
01-01-2021 19:00,----,0.21,16.6,2.8,6.3,9.1,3.8,80,14.3,56,0,563,7
01-01-2021 20:00,----,0.29,9.9,2.9,11.7,14.6,0.6,76,13.6,58,0,564,6
01-01-2021 21:00,----,0.26,12.5,2.8,8.3,11.1,1.9,90,12.7,63,0,564,15
01-01-2021 22:00,----,0.25,11.7,1.5,8.8,10.3,1.1,72,12.4,65,0,565,13
01-01-2021 23:00,----,0.22,11.8,1.6,8.6,10.1,1,45,12.7,64,0,565,9
01-01-2021 24:00,----,0.2,13.5,0.7,6.3,7,1,44,12.8,65,0,565,10
02-01-2021 01:00,----,0.18,14.1,0.7,5.6,6.2,2.1,32,12.7,68,0,564,6
02-01-2021 02:00,----,0.18,13.1,0.5,5.2,5.7,1.9,49,12.2,70,0,564,6
02-01-2021 03:00,----,0.17,13.1,0.6,4.7,5.4,1.5,40,11.8,72,0,563,9
02-01-2021 04:00,----,0.2,8.7,1.1,8.2,9.3,0.9,338,11.6,74,0,563,7
02-01-2021 05:00,----,0.33,5.6,12.1,12.1,24.2,0.8,3,11.4,75,0,564,7
02-01-2021 06:00,----,0.38,2.7,13.4,14.5,27.9,0.5,304,10.5,78,0,564,11
02-01-2021 07:00,----,0.72,2.4,43.4,17.3,60.6,0.6,349,11.1,75,0,564,9
02-01-2021 08:00,----,0.57,5.4,27.9,15.1,43,1.1,53,12.8,69,0,565,19
